phone_name,    input_format,consider_exact_values_of_frequency , populate_inputs_to_considere_thread_combinations_on_same_socket, maximum_number_of_combination, Lamda or kernel ridge coef,search_ridge_coeff,search_strategy,number_of_iteration_during_exploration,l_o_o_on_alpha_exploration,ltolerance,lambda_min,max_iterations,sequential_gap,dichotomic_progression_ratio,standartize_inputs,R2_score,energy_gap,number_of_neighbours,X_format_in_model
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.765426662864161,True,dichotomic,10,2.9097957939803E-22,1E-22,0.000000001,10,0.001,33,False,0.255552835486933,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.0303030312727273,True,explore_all_values,1,1.79618959542007E-22,1E-22,0.000000001,30,0.001,33,False,0.483668046239228,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,True,explore_all_values,1,1.58774144832034E-22,1E-22,0.000000001,30,0.001,100,False,0.485247942227902,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.200000001,True,sequential,1,2.21335299445729E-22,1E-22,0.000000001,30,0.1,100,False,0.398897599354682,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.900000001,True,sequential,8,3.04296494211031E-22,1E-23,0.000000001,30,0.1,100,False,0.232047797721671,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.200000001,True,sequential,1,2.21335299445729E-22,1E-22,0.000000001,30,0.1,100,False,0.398897599354682,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,3.100000001,True,sequential,30,1.27635465144987E-21,1E-23,0.000000001,30,0.1,100,False,0.112068819788845,5,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,2.000000001,True,sequential,19,6.09557021769752E-22,1E-23,0.000000001,30,0.1,100,False,0.295020705637753,10,20,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.02000000098,True,explore_all_values,2,2.96220814294678E-22,1E-22,0.000000001,30,0.1,100,False,0.800526265603632,10,20,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.02000000098,False,----,0,1E-22,1E-22,0.000000001,30,0.1,100,False,0.800526265603632,10,20,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.02000000098,False,----,0,1E-22,1E-22,0.000000001,30,0.1,100,False,0.800526265603632,10,20,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-22,1E-22,0.000000001,30,0.1,100,False,0.580480952210157,10,20,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-22,1E-22,0.000000001,30,0.1,100,False,0.668025618998727,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-22,1E-22,0.000000001,30,0.1,100,False,0.668025618998727,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.02000000098,False,----,0,1E-22,1E-22,0.000000001,30,0.1,100,False,0.488054245215279,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.02000000098,False,----,0,1E-22,1E-22,0.000000001,30,0.1,100,False,0.488054245215279,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.02000000098,False,----,0,1E-22,1E-22,0.000000001,30,0.1,100,False,0.800526265603632,10,20,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.02000000098,False,----,0,1E-22,1E-22,0.000000001,30,0.1,100,False,0.800526265603632,10,20,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.030000000970000003,True,explore_all_values,3,1.254785333648227e-21,1e-22,1e-09,30,0.1,100,False,0.3985221523442779,5,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.29093796777270764,5,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.6680256189987271,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.6680256189987271,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.879842509117739,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.879842509117739,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.8489171156422395,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.8999417647627684,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.8999417647627684,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.8999417647627684,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.8999417647627684,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.8999417647627684,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.8999417647627684,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.8999417647627684,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.8999417647627684,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.8999417647627684,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.8999417647627684,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.8999417647627684,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.8999417647627684,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.8999417647627684,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.8999417647627684,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.8999417647627684,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.8999417647627684,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.8999417647627684,10,10,base_Y,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1e-22,1e-22,1e-09,30,0.1,100,False,0.8999417647627684,10,10,base_Y,
